"genus","GH","ht.max"
"Bactrospora","N.L","0"
"Chiodecton","N.L","0"
"Enterographa","N.L","0"
"Lecanactis","N.L","0"
"Opegrapha","N.L","0"
"Sclerophyton","N.L","0"
"Schismatomma","N.L","0"
"Ophioparma","N.L","0"
"Degelia","N.L","0"
"Erioderma","N.L","0"
"Fuscopannaria","N.L","0"
"Leioderma","N.L","0"
"Parmeliella","N.L","0"
"Ahtiana","N.L","0"
"Allantoparmelia","N.L","0"
"Allocetraria","N.L","0"
"Anzia","N.L","0"
"Arctocetraria","N.L","0"
"Asahinea","N.L","0"
"Bryocaulon","N.L","0"
"Brodoa","N.L","0"
"Bulbothrix","N.L","0"
"Canoparmelia","N.L","0"
"Cavernularia","N.L","0"
"Cetrelia","N.L","0"
"Cetrariella","N.L","0"
"Cornicularia","N.L","0"
"Dactylina","N.L","0"
"Esslingeriana","N.L","0"
"Everniastrum","N.L","0"
"Evernia","N.L","0"
"Flavocetraria","N.L","0"
"Imshaugia","N.L","0"
"Kaernefeltia","N.L","0"
"Letharia","N.L","0"
"Masonhalea","N.L","0"
"Melanelia","N.L","0"
"Menegazzia","N.L","0"
"Myelochroa","N.L","0"
"Neofuscelia","N.L","0"
"Nodobryoria","N.L","0"
"Paraparmelia","N.L","0"
"Parmeliopsis","N.L","0"
"Parmotremopsis","N.L","0"
"Parmelinopsis","N.L","0"
"Parmelina","N.L","0"
"Pseudevernia","N.L","0"
"Pseudephebe","N.L","0"
"Pseudoparmelia","N.L","0"
"Punctelia","N.L","0"
"Relicina","N.L","0"
"Rimelia","N.L","0"
"Rimeliella","N.L","0"
"Vulpicida","N.L","0"
"Xanthoparmelia","N.L","0"
"Hydrothyria","N.L","0"
"Massalongia","N.L","0"
"Solorina","N.L","0"
"Varicellaria","N.L","0"
"Phlyctis","N.L","0"
"Phlyctella","N.L","0"
"Phlyctidia","N.L","0"
"Lichenochora","N.L","0"
"Thamnogala","N.L","0"
"Anaptychia","N.L","0"
"Buellia","N.L","0"
"Buelliella","N.L","0"
"Dermiscellum","N.L","0"
"Diplotomma","N.L","0"
"Dimelaena","N.L","0"
"Diploicia","N.L","0"
"Hyperphyscia","N.L","0"
"Mobergia","N.L","0"
"Phaeophyscia","N.L","0"
"Physconia","N.L","0"
"Physciella","N.L","0"
"Phaeorrhiza","N.L","0"
"Pyxine","N.L","0"
"Rinodina","N.L","0"
"Tornabea","N.L","0"
"Byssoloma","N.L","0"
"Fellhanera","N.L","0"
"Koerberia","N.L","0"
"Leptochidium","N.L","0"
"Polychidium","N.L","0"
"Vestergrenopsis","N.L","0"
"Cystobasidium","N.L","0"
"Peridiothelia","N.L","0"
"Kirschsteiniothelia","N.L","0"
"Amygdalaria","N.L","0"
"Anamylospora","N.L","0"
"Bellemerea","N.L","0"
"Clauzadea","N.L","0"
"Farnoldia","N.L","0"
"Immersaria","N.L","0"
"Koerberiella","N.L","0"
"Mycobilimbia","N.L","0"
"Protothelenella","N.L","0"
"Lecidoma","N.L","0"
"Psora","N.L","0"
"Psorula","N.L","0"
"Pyrenothrix","N.L","0"
"Anthracothecium","N.L","0"
"Distopyrenis","N.L","0"
"Granulopyrenis","N.L","0"
"Lithothelium","N.L","0"
"Pyrenocollema","N.L","0"
"Pyrgillus","N.L","0"
"Requienella","N.L","0"
"Niebla","N.L","0"
"Trichoramalina","N.L","0"
"Vermilacinia","N.L","0"
"Catolechia","N.L","0"
"Epilichen","N.L","0"
"Poeltinula","N.L","0"
"Lithographa","N.L","0"
"Rimularia","N.L","0"
"Dendrographa","N.L","0"
"Mazosia","N.L","0"
"Plectocarpon","N.L","0"
"Reinkella","N.L","0"
"Roccella","N.L","0"
"Roccellina","N.L","0"
"Schizopelte","N.L","0"
"Sigridea","N.L","0"
"Hafellnera","N.L","0"
"Schaereria","N.L","0"
"Solorinella","N.L","0"
"Bunodophoron","N.L","0"
"Sphinctrina","N.L","0"
"Pilophorus","N.L","0"
"Absconditella","N.L","0"
"Conotrema","N.L","0"
"Nanostictis","N.L","0"
"Petractis","N.L","0"
"Thelopsis","N.L","0"
"Topelia","N.L","0"
"Strigula","N.L","0"
"Syzygospora","N.L","0"
"Cephalophysis","N.L","0"
"Teloschistes","N.L","0"
"Julella","N.L","0"
"Thelenella","N.L","0"
"Asterothyrium","N.L","0"
"Nadvornikia","N.L","0"
"Ocellularia","N.L","0"
"Thelotrema","N.L","0"
"Thrombium","N.L","0"
"Anzina","N.L","0"
"Placopsis","N.L","0"
"Placynthiella","N.L","0"
"Trapeliopsis","N.L","0"
"Trapelia","N.L","0"
"Tremella","N.L","0"
"Graphidium","N.L","0"
"Fayodia","N.L","0"
"Omphalina","N.L","0"
"Clathroporina","N.L","0"
"Porina","N.L","0"
"Segestria","N.L","0"
"Trichothelium","N.L","0"
"Astrothelium","N.L","0"
"Bathelium","N.L","0"
"Laurera","N.L","0"
"Polymeridium","N.L","0"
"Pseudopyrenula","N.L","0"
"Trypethelium","N.L","0"
"Adelococcus","N.L","0"
"Agonimia","N.L","0"
"Catapyrenium","N.L","0"
"Dermatocarpon","N.L","0"
"Endocarpon","N.L","0"
"Heterocarpon","N.L","0"
"Lauderlindsaya","N.L","0"
"Merismatium","N.L","0"
"Phaeospora","N.L","0"
"Placidiopsis","N.L","0"
"Staurothele","N.L","0"
"Thelidium","N.L","0"
"Trimmatothele","N.L","0"
"Vezdaea","N.L","0"
"×Cyathidaria","H2F","0.6"
"×Elyhordeum","H2GC","0.6"
"×Hemionanthes","H2F","0.6"
"×Pachebergia","H2F","0.6"
"Aa","H2F","0.6"
"Aakia","H2F","0.6"
"Abarema","T2BE","24"
"Abatia","S2BE","3"
"Abdra","H1F","0.6"
"Abelia","S2BE","3"
"Abelmoschus","H2F","0.6"
"Abies","T2NE","37"
"Abildgaardia","H2GC","0.6"
"Abrodictyum","E.F","12"
"Abronia","H2F","0.6"
"Abrus","L.BD","12"
"Abuta","L.BE","12"
"Abutilon","H2F","0.6"
"Acacia","T1BE","13"
"Acaciella","S1BD","0.3"
"Acaena","H2F","0.6"
"Acalypha","H1F","0.7"
"Acamptopappus","S1BD","0.3"
"Acanthocereus","S2U","7"
