"family","genus"
"Annonaceae","Pseuduvaria"
"Annonaceae","Pyramidanthe"
"Annonaceae","Rollinia"
"Annonaceae","Ruizodendron"
"Annonaceae","Sageraea"
"Annonaceae","Sanrafaelia"
"Annonaceae","Sapranthus"
"Annonaceae","Schefferomitra"
"Annonaceae","Sirdavidia"
"Annonaceae","Sphaerocoryne"
"Annonaceae","Stelechocarpus"
"Annonaceae","Stenanona"
"Annonaceae","Tetrameranthus"
"Annonaceae","Toussaintia"
"Annonaceae","Tridimeris"
"Annonaceae","Trigynaea"
"Annonaceae","Trivalvaria"
"Annonaceae","Unonopsis"
"Annonaceae","Uvaria"
"Annonaceae","Uvariastrum"
"Annonaceae","Uvariodendron"
"Annonaceae","Uvariopsis"
"Annonaceae","Woodiellantha"
"Annonaceae","Xylopia"
"Calycanthaceae","Calycanthus"
"Calycanthaceae","Chimonanthus"
"Calycanthaceae","Idiospermum"
"Siparunaceae","Glossocalyx"
"Siparunaceae","Siparuna"
"Gomortegaceae","Gomortega"
"Atherospermataceae","Atherosperma"
"Atherospermataceae","Daphnandra"
"Atherospermataceae","Doryphora"
"Atherospermataceae","Dryadodaphne"
"Atherospermataceae","Laurelia"
"Atherospermataceae","Laureliopsis"
"Atherospermataceae","Nemuaron"
"Hernandiaceae","Gyrocarpus"
"Hernandiaceae","Hernandia"
"Hernandiaceae","Illigera"
"Hernandiaceae","Sparattanthelium"
"Monimiaceae","Austromatthaea"
"Monimiaceae","Decarydendron"
"Monimiaceae","Ephippiandra"
"Monimiaceae","Faika"
"Monimiaceae","Hedycarya"
"Monimiaceae","Hennecartia"
"Monimiaceae","Hortonia"
"Monimiaceae","Kairoa"
"Monimiaceae","Kibara"
"Monimiaceae","Kibaropsis"
"Monimiaceae","Lauterbachia"
"Monimiaceae","Levieria"
"Monimiaceae","Macropeplus"
"Monimiaceae","Macrotorus"
"Monimiaceae","Matthaea"
"Monimiaceae","Mollinedia"
"Monimiaceae","Monimia"
"Monimiaceae","Palmeria"
"Monimiaceae","Parakibara"
"Monimiaceae","Peumus"
"Monimiaceae","Steganthera"
"Monimiaceae","Tambourissa"
"Monimiaceae","Tetrasynandra"
"Monimiaceae","Wilkiea"
"Monimiaceae","Xymalos"
"Lauraceae","Actinodaphne"
"Lauraceae","Adenodaphne"
"Lauraceae","Aiouea"
"Lauraceae","Alseodaphne"
"Lauraceae","Anaueria"
"Lauraceae","Aniba"
"Lauraceae","Apollonias"
"Lauraceae","Aspidostemon"
"Lauraceae","Beilschmiedia"
"Lauraceae","Caryodaphnopsis"
"Lauraceae","Cassytha"
"Lauraceae","Chlorocardium"
"Lauraceae","Cinnadenia"
"Lauraceae","Cinnamomum"
"Lauraceae","Cryptocarya"
"Lauraceae","Damburneya"
"Lauraceae","Dicypellium"
"Lauraceae","Dodecadenia"
"Lauraceae","Endiandra"
"Lauraceae","Endlicheria"
"Lauraceae","Eusideroxylon"
"Lauraceae","Hexapora"
"Lauraceae","Hypodaphnis"
"Lauraceae","Kubitzkia"
"Lauraceae","Laurus"
"Lauraceae","Licaria"
"Lauraceae","Lindera"
"Lauraceae","Litsea"
"Lauraceae","Mezilaurus"
"Lauraceae","Misanteca"
"Lauraceae","Mocinnodaphne"
"Lauraceae","Mutisiopersea"
"Lauraceae","Nectandra"
"Lauraceae","Neocinnamomum"
"Lauraceae","Neolitsea"
"Lauraceae","Nothaphoebe"
"Lauraceae","Ocotea"
"Lauraceae","Paraia"
"Lauraceae","Persea"
"Lauraceae","Phoebe"
