accsym,syn,sym,taxon
ASFLF,ASFLS,ASFLS,Astragalus flexuosus var. sierrae-blancae
ASAU4,ASFO5,ASFO5,Astragalus forwoodii
ASAU4,ASFOW,ASFOW,Astragalus forwoodii var. wallowensis
ASFR10,,ASFR10,Astragalus fraxinifolius
ASLEF2,ASFR3,ASFR3,Astragalus fremontii
ASLEF2,ASFRE,ASFRE,Astragalus fremontii ssp. eremicus
ASFR4,,ASFR4,Astragalus frigidus
ASAM3,ASFRA,ASFRA,Astragalus frigidus var. americanus
ASAM3,ASFRG,ASFRG,Astragalus frigidus var. gaspensis
ASFU2,,ASFU2,Astragalus fucatus
ASFU3,,ASFU3,Astragalus funereus
ASGA10,,ASGA10,Astragalus galegiformis
ASGA,,ASGA,Astragalus gambelianus
ASGA,ASGAE,ASGAE,Astragalus gambelianus ssp. elmeri
ASTRP,ASGA6,ASGA6,Astragalus gaviotus
ASGE,,ASGE,Astragalus geyeri
ASGEG,,ASGEG,Astragalus geyeri var. geyeri
ASGET,,ASGET,Astragalus geyeri var. triquetrus
ASGI,,ASGI,Astragalus gibbsii
ASGI2,,ASGI2,Astragalus giganteus
ASGI3,,ASGI3,Astragalus gilensis
ASGI4,,ASGI4,Astragalus gilmanii
ASGI5,,ASGI5,Astragalus gilviflorus
ASGIG,,ASGIG,Astragalus gilviflorus var. gilviflorus
ASGIP,,ASGIP,Astragalus gilviflorus var. purpureus
ASAU4,ASGLM,ASGLM,Astragalus glabriusculus var. major
ASPUG2,ASGL7,ASGL7,Astragalus glareosus
ASGL13,,ASGL13,Astragalus glaux
ASGL14,,ASGL14,Astragalus globiceps
ASGL15,,ASGL15,Astragalus glycyphylloides
ASGL4,,ASGL4,Astragalus glycyphyllos
ASAG2,ASGO4,ASGO4,Astragalus goniatus
ASGR3,,ASGR3,Astragalus gracilis
ASGR4,,ASGR4,Astragalus grayi
ASFLG,ASGR10,ASGR10,Astragalus greenei
ASGU,,ASGU,Astragalus gummifer
ASGY,,ASGY,Astragalus gypsodes
ASCAC6,ASHA9,ASHA9,Astragalus halei
ASHA2,,ASHA2,Astragalus hallii
ASHAF,,ASHAF,Astragalus hallii var. fallax
ASHAH,,ASHAH,Astragalus hallii var. hallii
ASHA3,,ASHA3,Astragalus hamiltonii
ASHA13,,ASHA13,Astragalus hamosus
ASROH,ASHA10,ASHA10,Astragalus harringtonii
ASHA4,,ASHA4,Astragalus harrisonii
ASHA5,,ASHA5,Astragalus hartwegii
ASINH,ASHA11,ASHA11,Astragalus harwoodii
ASBIH,ASHA8,ASHA8,Astragalus haydenianus
ASBIM,ASHAM,ASHAM,Astragalus haylenianus var. major
ASHE13,,ASHE13,Astragalus heilii
ASARS,ASHE6,ASHE6,Astragalus henrimontanensis
ASHO5,,ASHO5,Astragalus holmgreniorum
ASHO,,ASHO,Astragalus hoodianus
ASHO2,,ASHO2,Astragalus hornii
ASHO2,ASHOH,ASHOH,Astragalus hornii var. hornii
ASHO3,,ASHO3,Astragalus howellii
ASMIM3,ASHOA,ASHOA,Astragalus howellii var. aberrans
ASMIP,ASHOP,ASHOP,Astragalus howellii var. pauper
ASHU,,ASHU,Astragalus humillimus
ASHU2,,ASHU2,Astragalus humistratus
ASHUC,,ASHUC,Astragalus humistratus var. crispulus
ASHUH,,ASHUH,Astragalus humistratus var. hosackiae
ASHUH3,,ASHUH3,Astragalus humistratus var. humistratus
ASHUH2,,ASHUH2,Astragalus humistratus var. humivagans
ASHUS,,ASHUS,Astragalus humistratus var. sonorae
ASHUT,,ASHUT,Astragalus humistratus var. tenerrimus
