"taxon","auth","gbif","usda"
"Calothrix contareni","(Zanardini) Bornet & Flahault, 1886","Calothrix contareni",
"Calothrix crustacea","Schousboe ex Thuret, 1876","Calothrix crustacea",
"Calothrix crustaceae","Thuret ex Bornet & Flahault","Calothrix crustaceae",
"Calothrix epiphytica","W.West & G.S.West","Calothrix epiphytica",
"Calothrix fasciculata","C.Agardh ex Bornet & Flahault","Calothrix fasciculata",
"Calothrix fusca","Bornet & Flahault","Calothrix fusca",
"Calothrix fuscoviolacea","P.L.Crouan & H.M.Crouan ex Bornet & Flahault, 1886","Calothrix fuscoviolacea",
"Calothrix gypsophila","Thuret, 1875","Calothrix gypsophila",
"Calothrix nodulosa","Setchell & N.L.Gardner, 1924","Calothrix nodulosa",
"Calothrix parasitica","(Chauv.) Thur. ex Bornet & Flahault","Calothrix parasitica",
"Calothrix parietina","Thur. ex Bornet & Flahault","Calothrix parietina",
"Calothrix pilosa","","Calothrix pilosa",
"Calothrix pulvinata","C.Agardh ex Bornet & Flahault","Calothrix pulvinata",
"Calothrix scopulorum","C.Agardh ex Bornet & Flahault","Calothrix scopulorum",
"Calothrix scytonemicola","Tilden","Calothrix scytonemicola",
"Calothrix simulans","Gardner","Calothrix simulans",
"Calothrix stagnalis","Gomont","Calothrix stagnalis",
"Calothrix stellaris","Bornet & Flahault","Calothrix stellaris",
"Calothrix thermalis","(Schwabe) Hansgirg","Calothrix thermalis",
"Calothrix vivipara","Harvey, 1858","Calothrix vivipara",
"Dichothrix baueriana","Bornet & Flahault","Dichothrix baueriana",
"Dichothrix calcerea","Tilden","Dichothrix calcerea",
"Dichothrix compacta","Bornet & Flahault","Dichothrix compacta",
"Dichothrix gypsophila","Bornet & Flahault","Dichothrix gypsophila",
"Dichothrix hosfordii","(Wolle) Bornet In Setchell","Dichothrix hosfordii",
"Dichothrix inyoensis","Drouet","Dichothrix inyoensis",
"Dichothrix montana","Tilden","Dichothrix montana",
"Dichothrix orsiniana","Bornet & Flahault","Dichothrix orsiniana",
"Dichothrix penicillata","Zanardini Ex Born. & Flah.","Dichothrix penicillata",
"Dichothrix rupicola","F.S.Collins, 1901","Dichothrix rupicola",
"Gardnerula corymbosa","","Gardnerula corymbosa",
"Gloeotrichia echinulata","P.G.Richt.","Gloeotrichia echinulata",
"Gloeotrichia natans","Rabenh. ex Bornet & Flahault","Gloeotrichia natans",
"Rivularia natans","(Hedw.) S.F.Gray","Gloeotrichia natans",
"Gloeotrichia pisum","Thur. ex Bornet & Flahault","Gloeotrichia pisum",
"Isactis plana","Thur. ex Bornet & Flahault","Isactis plana",
"Richelia intracellularis","B","Richelia intracellularis",
"Rivularia atra","Roth ex Bornet & Flahault","Rivularia atra",
"Rivularia beccariana","Bornet & Flahault","Rivularia beccariana",
"Rivularia biasolettiana","Menegh. ex Bornet & Flahault","Rivularia biasolettiana",
"Rivularia compacta","Collins","Rivularia compacta",
"Rivularia dura","Roth ex Bornet & Flahault","Rivularia dura",
"Rivularia haematites","C.Agardh ex Bornet & Flahault","Rivularia haematites",
"Rivularia minutula","(Kütz.) Bornet & Flahault","Rivularia minutula",
"Rivularia nitida","C.Agardh ex Bornet & Flahault","Rivularia nitida",
"Rivularia polyotis","(C.Agardh) Bornet & Flahault","Rivularia polyotis",
"Sacconema rupestre","A.Borzi Ex Born. & Flah.","Sacconema rupestre",
"Brasilonema octagenarum","Aguiar et al.","Brasilonema octagenarum",
"Iningainema tapete","","Iningainema tapete",
"Kyrtuthrix maculans","(Gomont) Umezaki","Kyrtuthrix maculans",
"Petalonema alatum","(Borzì ex Bornet & Flahault) Correns","Petalonema alatum",
"Petalonema crustaceum","(C.Agardh) Kirchn.","Petalonema crustaceum",
"Scytonema crustaceum","C.Agardh ex Bornet & Flahault","Petalonema crustaceum",
"Scytonematopsis crustacea","(Thur. ex Bornet & Flahault) Koválik & Komárek, 1988","Petalonema crustaceum",
"Petalonema velutinum","Mig.","Petalonema velutinum",
"Scytonema arcangeli","Bornet & Flahault","Scytonema arcangeli",
"Scytonema austinii","Wood","Scytonema austinii",
"Scytonema bewsii","F.E.Fritsch","Scytonema bewsii",
"Scytonema bohnerii","Schmidle","Scytonema bohnerii",
"Scytonema capitatum","N.L.Gardner","Scytonema capitatum",
"Scytonema coactile","Mont.","Scytonema coactile",
"Scytonema cookei","West & G.S.West, 1892","Scytonema cookei",
"Scytonema crassum","Naegeli","Scytonema crassum",
"Scytonema cincinnatum","Thur.","Scytonema crispum",
"Scytonema crispum","Bornet ex De Toni","Scytonema crispum",
"Scytonema dubium","Wood","Scytonema dubium",
"Scytonema fritschii","Ghose","Scytonema fritschii",
"Scytonema guyanense","(Mont.) Bornet & Flahault","Scytonema guyanense",
"Scytonema hofman-bangii","C.Agardh, 1812","Scytonema hofmanni",
"Scytonema hofmanni","C.Agardh ex Bornet & Flahault","Scytonema hofmanni",
"Scytonema hyalinum","N.L.Gardner","Scytonema hyalinum",
"Scytonema insulare","Sant'Anna","Scytonema insulare",
"Scytonema javanicum","Bornet ex Bornet & Flahault","Scytonema javanicum",
"Scytonema milleri","Bornet","Scytonema milleri",
"Scytonema figuratum","C.Agardh, 1824","Scytonema mirabile",
"Scytonema mirabile","Bornet","Scytonema mirabile",
"Scytonema multiramosum","Gardner, 1927","Scytonema multiramosum",
"Scytonema myochrous","C.Agardh ex Bornet & Flahault","Scytonema myochrous",
"Scytonema ocellatum","Lyngb. ex Bornet & Flahault","Scytonema ocellatum",
"Scytonema rivulare","Borzi","Scytonema rivulare",
"Scytonema schmidlei","De Toni","Scytonema schmidlei",
"Scytonema stuposum","(Kützing) Bornet ex Bornet & Flahault","Scytonema stuposum",
"Scytonema tolypothrichoides","Kütz. ex Bornet & Flahault","Scytonema tolypothrichoides",
"Scytonema varium","Kütz. ex Bornet & Flahaut","Scytonema varium",
"Scytonematopsis pilosa","(Harvey ex Bornet & Flahault) I.Umezaki & M.Watanabe, 1994","Scytonematopsis pilosa",
"Stigonema aerugineum","Tilden","Stigonema aerugineum",
"Stigonema hormoides","Bornet & Flahault","Stigonema hormoides",
"Stigonema informe","Kütz.","Stigonema informe",
"Stigonema leprieurii","Mont. ex Bornet & Flahault","Stigonema leprieurii",
"Stigonema mamillosum","(Lyngb.) C.Agardh","Stigonema mamillosum",
"Stigonema minutum","(C.Agardh) Hassall","Stigonema minutum",
"Stigonema minutum ssp. saxicola","(Naegeli) Born. & Flah.","Stigonema minutum ssp. saxicola",
"Stigonema mirabile","Beck, 1929","Stigonema mirabile",
"Stigonema ocellatum","Thur. ex Bornet & Flahault","Stigonema ocellatum",
"Stigonema ocellatum var. globosum","Nordst.","Stigonema ocellatum var. globosum",
"Stigonema panniforme","Bornet & Flahault","Stigonema panniforme",
"Stigonema sp.","sp903903925","Stigonema sp.",
"Stigonema tomentosum","Hieron.","Stigonema tomentosum",
"Stigonema turfaceum","Cooke ex Bornet & Flahault","Stigonema turfaceum",
"Brachytrichia codii","Setchell, 1926","Brachytrichia codii",
"Brachytrichia quoyi","Bornet & Flahault","Brachytrichia quoyi",
"Coleodesmium wrangelii","Borzì ex Geitler","Coleodesmium wrangelii",
"Desmonema wrangelii","Bornet & Flahault","Coleodesmium wrangelii",
"Tolypothrix distorta","Kütz. ex Bornet & Flahault","Tolypothrix distorta",
"Tolypothrix lanata","Wartm. ex Bornet & Flahault","Tolypothrix lanata",
"Tolypothrix limbata","Thur. ex Bornet & Flahault","Tolypothrix limbata",
"Tolypothrix papyracea","N.L.Gardner","Tolypothrix papyracea",
"Tolypothrix penicillata","Thur. ex Bornet & Flahault","Tolypothrix penicillata",
"Tolypothrix ravenelli","Wolle","Tolypothrix ravenelli",
"Tolypothrix setchellii","Collins","Tolypothrix setchellii",
"Tolypothrix sp.","hofmannii","Tolypothrix sp.",
"Tolypothrix tenuis","Kütz. ex Bornet & Flahault","Tolypothrix tenuis",
"Borzia trilocularis","Cohn","Borzia trilocularis",
"Symploca atlantica","Gomont","Symploca atlantica",
"Symploca dubia","Nägeli ex Gomont","Symploca dubia",
"Symploca funicularis","Setch. & N.L.Gardner","Symploca funicularis",
"Symploca hydnoides","Kütz. ex Gomont","Symploca hydnoides",
"Symploca kieneri","Drouet, 1943","Symploca kieneri",
"Symploca laeteviridis","Gomont, 1892","Symploca laeteviridis",
"Symploca muralis","Kütz. ex Gomont","Symploca muralis",
"Symploca muscorum","Gomont ex Gomont","Symploca muscorum",
"Symploca violacea","Hauck, 1879","Symploca violacea",
"Symploca willei","","Symploca willei",
"Homoeothrix caespitosa","(Rabenh.) Kirchn.","Homoeothrix caespitosa",
"Calothrix juliana","Bornet & Flahault","Homoeothrix juliana",
"Homoeothrix juliana","(Bornet & Flahault) Kirchn.","Homoeothrix juliana",
"Capilliphycus tropicalis","T.A.Caires, Sant'Anna & J.M.Nunes","Capilliphycus tropicalis",
"Kamptonema animale","(C.Agardh ex Gomont) Strunecký, Komárek & J.Smarda","Kamptonema animale",
"Porphyrosiphon animalis","(C.Agardh) Drouet","Kamptonema animale",
"Kamptonema chlorinum","(Kütz. ex Gomont) Strunecký, Komárek & J.Smarda","Kamptonema chlorinum",
"Kamptonema formosum","(Bory ex Gomont) Strunecký, Komárek & J.Smarda","Kamptonema formosum",
"Oscillatoria formosa","Bory ex Gomont","Kamptonema formosum",
"Phormidium formosum","(Bory ex Gomont) Anagn. & Komárek","Kamptonema formosum",
"Kamptonema laetevirens","(P.Crouan & H.Crouan ex Gomont) Strunecký, Komárek & J.Smarda","Kamptonema laetevirens",
"Oscillatoria laetevirens","P.Crouan & H.Crouan ex Gomont","Kamptonema laetevirens",
"Phormidium laetevirens","(P.Crouan & H.Crouan ex Gomont) Anagn. & Komárek","Kamptonema laetevirens",
"Kamptonema okenii","(C.Agardh ex Gomont) Strunecký, Komárek & J.Smarda","Kamptonema okenii",
"Limnospira platensis","","Limnospira platensis",
"Microcoleus acutirostris","Gomont","Microcoleus acutirostris",
"Microcoleus amoenus","(Gomont) Strunecký et al.","Microcoleus amoenus",
"Oscillatoria amoena","Gomont","Microcoleus amoenus",
"Microcoleus amplus","N.L.Gardner","Microcoleus amplus",
"Microcoleus annulatus","F.E.Fritsch","Microcoleus annulatus",
"Microcoleus autumnalis","(Gomont) Strunecký et al.","Microcoleus autumnalis",
"Phormidium autumnale","Gomont","Microcoleus autumnalis",
"Microcoleus chtonoplastes","(Mertens) Zanardini","Microcoleus chtonoplastes",
"Microcoleus irriguus","(Kuetzing) Drouet","Microcoleus irriguus",
"Microcoleus lacustris","(Rabh.) Farlow","Microcoleus lacustris",
"Microcoleus lyngbyaceus","","Microcoleus lyngbyaceus",
"Microcoleus paludosus","Gomont","Microcoleus paludosus",
"Microcoleus setchellianus","(Gomont) Strunecky, Komárek & J.R.Johansen","Microcoleus setchellianus",
"Phormidium setchellianum","Gomont","Microcoleus setchellianus",
"Microcoleus sociatus","West & G.S.West","Microcoleus sociatus",
"Microcoleus subtorulosus","(Bréb.) Gomont","Microcoleus subtorulosus",
"Microcoleus vaginatus","Gomont ex Gomont","Microcoleus vaginatus",
"Microcoleus vulgaris","Strunecky, Komárek & Johansen, 2013","Microcoleus vulgaris",
"Tychonema bornetii","(Zukal) Anagn. & Komárek","Tychonema bornetii",
"Blennothrix cantharidosma","(Gomont ex Gomont) Anagnostidis & Komárek, 1988","Blennothrix cantharidosma",
"Hydrocoleum cantharidosum","Gomont ex Gomont, 1892","Blennothrix cantharidosma",
"Blennothrix glutinosa","(Gomont ex Gomont) Anagn. & Komárek","Blennothrix glutinosa",
"Hydrocoleum glutinosum","Gomont ex Gomont","Blennothrix glutinosa",
"Blennothrix lyngbyacea","(Kütz. ex Gomont) Anagn. & Komárek","Blennothrix lyngbyacea",
"Hydrocoleum lyngbyaceum","Kütz. ex Gomont","Blennothrix lyngbyacea",
"Blennothrix majus","(Holden) Anagnostidis & Komárek, 1988","Blennothrix majus",
"Hydrocoleum majus","Holden, 1899","Blennothrix majus",
"Havrella mirabilis","(Cohn) G.Breton & P.Saulot","Havrella mirabilis",
"Limnoraphis hieronymusii","(Lemmerm.) Komárek et al.","Limnoraphis hieronymusii",
"Lyngbya hieronymusii","Lemmerm.","Limnoraphis hieronymusii",
