"taxon","auth","gbif","usda"
"Plagiochila opaca","Schiffn.","Plagiochila javanica",
"Plagiochila pinnatiramosa","Schiffn.","Plagiochila javanica",
"Plagiochila revolutifolia","Schiffn.","Plagiochila javanica",
"Plagiochila subtruncata","Schiffn.","Plagiochila javanica",
"Plagiochila tjibodensis","Schiffn.","Plagiochila javanica",
"Plagiochila johannis-winkleri","Herzog","Plagiochila johannis-winkleri",
"Plagiochila berkeleyana","Gottsche","Plagiochila junghuhniana",
"Plagiochila junghuhniana","Sande Lac.","Plagiochila junghuhniana",
"Plagiochila massalongoana","Schiffn.","Plagiochila junghuhniana",
"Plagiochila pulchra","Steph.","Plagiochila junghuhniana",
"Plagiochila karstenii","Steph.","Plagiochila karstenii",
"Plagiochila kaulfussiana","Steph.","Plagiochila kaulfussiana",
"Plagiochila kerneriana","S.W.Arnell","Plagiochila kerneriana",
"Plagiochila khasiana","Mitt.","Plagiochila khasiana",
"Plagiochila capensis","Steph.","Plagiochila kiaeri",
"Plagiochila divergens","Steph.","Plagiochila kiaeri",
"Plagiochila divergens var. capensis","(Steph.) E.W.Jones","Plagiochila kiaeri",
"Plagiochila kiaeri","Gottsche","Plagiochila kiaeri",
"Plagiochila divergens var. myriocarpa","(Pearson) E.W.Jones","Plagiochila kiaeri var. myriocarpa",
"Plagiochila kiaeri var. myriocarpa","(Pearson) Pócs","Plagiochila kiaeri var. myriocarpa",
"Plagiochila myriocarpa","Pearson","Plagiochila kiaeri var. myriocarpa",
"Plagiochila bazzanioides","J.J.Engel & G.L.Merr.","Plagiochila kirkii",
"Plagiochila kirkii","Mitt. ex Steph.","Plagiochila kirkii",
"Plagiochila koponenii","Inoue & Piippo","Plagiochila koponenii",
"Plagiochila beccariana","Schiffn.","Plagiochila korthalsiana",
"Plagiochila beccariana var. laxa","Schiffn.","Plagiochila korthalsiana",
"Plagiochila korthalsiana","Molk. ex Sande Lac.","Plagiochila korthalsiana",
"Plagiochila kuhliana","Sande Lac.","Plagiochila kuhliana",
"Plagiochila kunmingensis","Piippo","Plagiochila kunmingensis",
"Plagiochila kurokawae","Inoue","Plagiochila kurokawae",
"Plagiochila kurzii","Steph.","Plagiochila kurzii",
"Plagiochila lacerifolia","Steph.","Plagiochila lacerifolia",
"Plagiochila lachenaudii","Steph.","Plagiochila lachenaudii",
"Plagiochila aequidentata","Steph.","Plagiochila laetevirens",
"Plagiochila bancroftii","Steph.","Plagiochila laetevirens",
"Plagiochila binominis","Gottsche","Plagiochila laetevirens",
"Plagiochila boissieri","Steph.","Plagiochila laetevirens",
"Plagiochila caudata","Steph.","Plagiochila laetevirens",
"Plagiochila contigua","Gottsche","Plagiochila laetevirens",
"Plagiochila flabellifrons","Spruce","Plagiochila laetevirens",
"Plagiochila impluviata","Spruce","Plagiochila laetevirens",
"Plagiochila kroneana","Steph.","Plagiochila laetevirens",
"Plagiochila laetevirens","Lindenb.","Plagiochila laetevirens",
"Plagiochila luetzelburgii","Steph.","Plagiochila laetevirens",
"Plagiochila micropteryx","Gottsche","Plagiochila laetevirens",
"Plagiochila multiramosa","Steph.","Plagiochila laetevirens",
"Plagiochila pachoensis","Steph.","Plagiochila laetevirens",
"Plagiochila pseudopatula","Herzog","Plagiochila laetevirens",
"Plagiochila tocarema","Gottsche","Plagiochila laetevirens",
"Plagiochila laevifolia","Gola","Plagiochila laevifolia",
"Plagiochila lamellata","M.A.M.Renner","Plagiochila lamellata",
"Plagiochila lamellistipula","Spruce","Plagiochila lamellistipula",
"Plagiochila lamyana","Gradst. & D.P.Costa","Plagiochila lamyana",
"Plagiochila lansbergii","Gottsche","Plagiochila lansbergii",
"Plagiochila lastii","Mitt.","Plagiochila lastii",
"Plagiochila volkensii","Steph.","Plagiochila lastii",
"Plagiochila latifrons","Gottsche & Hampe","Plagiochila latifrons",
"Plagiochila laxiramea","Steph.","Plagiochila laxiramea",
"Plagiochila lechleri","Gottsche","Plagiochila lechleri",
"Plagiochila lecontei","Steph.","Plagiochila lecontei",
"Plagiochila ledermanniana","Beauverd","Plagiochila ledermanniana",
"Plagiochila ledieui","Steph.","Plagiochila ledieui",
"Plagiochila lehmanniana","S.W.Arnell","Plagiochila lehmanniana",
"Plagiochila liebmanniana","Lehm. & Lindenb.","Plagiochila liebmanniana",
"Plagiochila lignicola","Spruce","Plagiochila lignicola",
"Plagiochila lindaui","Steph.","Plagiochila lindaui",
"Plagiochila lingua","Steph.","Plagiochila lingua",
"Plagiochila loloensis","Steph.","Plagiochila loloensis",
"Plagiochila longifissa","Steph.","Plagiochila longifissa",
"Plagiochila longiflora","Mont.","Plagiochila longiflora",
"Plagiochila apicidens","Steph.","Plagiochila longiramea",
"Plagiochila longiramea","Steph.","Plagiochila longiramea",
"Plagiochila allorgei","Herzog & Perss.","Plagiochila longispina",
"Plagiochila longispina","Lindenb. & Gottsche","Plagiochila longispina",
"Plagiochila matanga","Steph.","Plagiochila longispina",
"Plagiochila difficilis","Steph.","Plagiochila lophocoleoides",
"Plagiochila lophocoleoides","Mont.","Plagiochila lophocoleoides",
"Plagiochila oligodon","Mont.","Plagiochila lophocoleoides",
"Plagiochila loriana","Steph.","Plagiochila loriana",
"Plagiochila loriloba","Herzog ex Carl","Plagiochila loriloba",
"Plagiochila lotsyana","Steph.","Plagiochila lotsyana",
"Plagiochila lunata","S.W.Arnell","Plagiochila lunata",
"Plagiochila luteola","Steph.","Plagiochila luteola",
"Plagiochila luzonensis","Grolle & M.L.So","Plagiochila luzonensis",
"Plagiochila abscedens","Gottsche","Plagiochila macra",
"Plagiochila atlantica","F.Rose","Plagiochila macra",
"Plagiochila beauverdii","Steph.","Plagiochila macra",
"Plagiochila goebeliana","Steph.","Plagiochila macra",
"Plagiochila heterophylla var. beauverdii","(Steph.) Heinrichs","Plagiochila macra",
"Plagiochila heterophylla var. heterophylla","","Plagiochila macra",
"Plagiochila macra","Taylor","Plagiochila macra",
"Plagiochila sparsifolia","Steph.","Plagiochila macra",
"Plagiochila tunguraguensis","Spruce","Plagiochila macra",
"Plagiochila macrifolia","Taylor","Plagiochila macrifolia",
"Plagiochila contingens","Gottsche","Plagiochila macrostachya",
"Plagiochila flaccida","Lindenb.","Plagiochila macrostachya",
"Plagiochila leptophylla","Spruce","Plagiochila macrostachya",
"Plagiochila macrostachya","Lindenb.","Plagiochila macrostachya",
"Plagiochila meridana","Gottsche","Plagiochila macrostachya",
"Plagiochila minarum","Herzog","Plagiochila macrostachya",
"Plagiochila maderensis","Gottsche ex Steph.","Plagiochila maderensis",
"Plagiochila magna","Inoue","Plagiochila magna",
"Plagiochila manillana","Mont. & Gottsche","Plagiochila manillana",
"Plagiochila marginata","S.W.Arnell","Plagiochila marginata",
"Plagiochila martiana","Nees","Plagiochila martiana",
"Plagiochila mastigophoroides","Inoue","Plagiochila mastigophoroides",
"Plagiochila mauiensis","Steph.","Plagiochila mauiensis",
"Plagiochila maunakeana","Steph.","Plagiochila maunakeana",
"Plagiochila maximiliana","Gottsche","Plagiochila maximiliana",
"Plagiochila meridionalis","M.A.M.Renner","Plagiochila meridionalis",
"Plagiochila microdentata","M.L.So","Plagiochila microdentata",
"Plagiochila microdictyon","Mitt.","Plagiochila microdictyon",
"Plagiochila aciculifera","Steph.","Plagiochila microdonta",
"Plagiochila microdonta","Mitt.","Plagiochila microdonta",
"Plagiochila micropterys","Gottsche","Plagiochila micropterys",
"Plagiochila minutissima","M.A.M.Renner","Plagiochila minutissima",
"Plagiochila heterodonta var. humilis","Schiffn.","Plagiochila minutula",
"Plagiochila minutula","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees","Plagiochila minutula",
"Plagiochila miradorensis","Gottsche","Plagiochila miradorensis","Plagiochila miradorensis"
"Plagiochila miradorensis var. miradorensis","","Plagiochila miradorensis var. miradorensis","Plagiochila miradorensis var. miradorensis"
"Plagiochila bueensis","Steph.","Plagiochila moenkemeyeri",
"Plagiochila decurrens","Steph.","Plagiochila moenkemeyeri",
"Plagiochila moenkemeyeri","Steph.","Plagiochila moenkemeyeri",
"Plagiochila molliuscula","Inoue","Plagiochila molliuscula",
"Plagiochila mollusca","Lehm.","Plagiochila mollusca",
"Plagiochila monospiris","Inoue & Grolle","Plagiochila monospiris",
"Plagiochila bogotensis","Gottsche","Plagiochila montagnei",
"Plagiochila florida","Spruce","Plagiochila montagnei",
"Plagiochila hypnoides","Willd. ex Lindenb.","Plagiochila montagnei","Plagiochila hypnoides"
"Plagiochila montagnei","Nees","Plagiochila montagnei",
"Plagiochila sinuata","Gottsche","Plagiochila montagnei",
"Plagiochila morobensis","Inoue & Piippo","Plagiochila morobensis",
"Plagiochila muelleriana","Gottsche","Plagiochila muelleriana",
"Plagiochila multiflora","Steph.","Plagiochila multiflora",
"Plagiochila multipinnula","Herzog & S.Hatt.","Plagiochila multipinnula",
"Plagiochila mundaliensis","Steph.","Plagiochila mundaliensis",
"Plagiochila mutila","Gottsche","Plagiochila mutila",
"Plagiochila naranjoensis","Steph.","Plagiochila naranjoensis",
"Plagiochila congoana","Steph.","Plagiochila neckeroidea",
"Plagiochila curvatifolia","Steph.","Plagiochila neckeroidea",
"Plagiochila neckeroidea","Mitt.","Plagiochila neckeroidea",
"Plagiochila neesiana","Lindenb.","Plagiochila neesiana",
"Plagiochila neglecta","Steph.","Plagiochila neglecta",
"Plagiochila negrensis","Spruce","Plagiochila negrensis",
"Plagiochila brevifolia","Steph.","Plagiochila nepalensis",
"Plagiochila cornuta","Steph.","Plagiochila nepalensis",
"Plagiochila decolyana","Schiffn. ex Steph.","Plagiochila nepalensis",
"Plagiochila gammiana","Steph.","Plagiochila nepalensis",
"Plagiochila gollanii","Steph.","Plagiochila nepalensis",
"Plagiochila grata","Steph.","Plagiochila nepalensis",
"Plagiochila makinoana","S.Hatt.","Plagiochila nepalensis",
"Plagiochila nepalensis","Lindenb.","Plagiochila nepalensis",
"Plagiochila semiaperta","Schiffn. ex Steph.","Plagiochila nepalensis",
"Plagiochila nigricaulis","Steph.","Plagiochila nigricaulis",
"Plagiochila nitens","Inoue","Plagiochila nitens",
"Plagiochila nobilis","Gottsche","Plagiochila nobilis",
"Plagiochila longistipula","Steph.","Plagiochila norfolkiensis",
"Plagiochila norfolkiensis","Steph.","Plagiochila norfolkiensis",
"Plagiochila notha","Steph.","Plagiochila notha",
"Plagiochila nudifolia","(Steph.) Grolle","Plagiochila nudifolia",
"Plagiochila muensis","Steph.","Plagiochila nutans",
"Plagiochila nutans","Steph.","Plagiochila nutans",
"Plagiochila obliquetruncata","Steph.","Plagiochila obliquetruncata",
"Plagiochila oblonga","Inoue","Plagiochila oblonga",
"Plagiochila obovata","Steph.","Plagiochila obovata",
"Plagiochila eberhardtii","Steph.","Plagiochila obtusa",
"Plagiochila obtusa","Lindenb.","Plagiochila obtusa",
"Plagiochila oerstediana","Lindenb. & Hampe","Plagiochila oerstediana",
"Plagiochila olivacea","Steph.","Plagiochila olivacea",
"Plagiochila orbicularis","(S.Hatt.) S.Hatt.","Plagiochila orbicularis",
"Plagiochila nagasakiensis","Steph.","Plagiochila ovalifolia",
"Plagiochila ovalifolia","Mitt.","Plagiochila ovalifolia",
"Plagiochila ovalifolia var. miyoshiana","(Steph.) S.Hatt.","Plagiochila ovalifolia",
"Plagiochila ovalifolia var. fauriana","(Stephani) S.Hatt.","Plagiochila ovalifolia var. fauriana",
"Plagiochila ovalifolia var. ovalifolia","","Plagiochila ovalifolia var. ovalifolia",
"Plagiochila ovata","Lindenb. & Gottsche","Plagiochila ovata",
"Plagiochila owaihiensis","Nees & Lindenb.","Plagiochila owaihiensis",
"Plagiochila homochroma","Spruce","Plagiochila pachyloma",
"Plagiochila pachyloma","Taylor","Plagiochila pachyloma",
"Plagiochila wallisiana","Steph.","Plagiochila pachyloma",
"Plagiochila pachyloma var. elatior","Spruce","Plagiochila pachyloma var. elatior",
"Plagiochila kermadecensis","J.J.Engel & G.L.Merr.","Plagiochila pacifica",
"Plagiochila pacifica","Mitt.","Plagiochila pacifica",
"Plagiochila deciduifolia","Steph.","Plagiochila papillifolia",
"Plagiochila papillifolia","Steph.","Plagiochila papillifolia",
"Plagiochila verruculosa","R.M.Schust.","Plagiochila papillifolia",
"Plagiochila parallela","Steph.","Plagiochila parallela",
"Plagiochila paraphyllina","Herzog","Plagiochila paraphyllina",
"Plagiochila birmensis","Steph.","Plagiochila parvifolia",
"Plagiochila consociata","Steph.","Plagiochila parvifolia",
"Plagiochila parvifolia","Lindenb.","Plagiochila parvifolia",
"Plagiochila treubii","Schiffn.","Plagiochila parvifolia",
"Plagiochila ventricosa","Steph.","Plagiochila parvifolia",
"Plagiochila yokogurensis","Steph.","Plagiochila parvifolia","Plagiochila yokogurensis"
"Plagiochila parvistipula","Schiffn.","Plagiochila parvistipula",
"Plagiochila parvitexta","Steph.","Plagiochila parvitexta",
"Plagiochila parvivittata","Inoue","Plagiochila parvivittata",
"Plagiochila parvula","Steph.","Plagiochila parvula",
"Plagiochila patentispina","Steph.","Plagiochila patentispina",
"Plagiochila patentissima","Stephani","Plagiochila patentissima",
"Plagiochila patriciae","Heinrichs & H.Anton","Plagiochila patriciae",
"Plagiochila aequifolia","Steph.","Plagiochila patula",
"Plagiochila barutana","Gottsche","Plagiochila patula",
"Plagiochila beskeana","Steph.","Plagiochila patula",
"Plagiochila discreta","Gottsche","Plagiochila patula",
"Plagiochila dubia","Lindenb. & Gottsche","Plagiochila patula","Plagiochila dubia"
"Plagiochila dubia var. integrifolia","R.M.Schust.","Plagiochila patula","Plagiochila dubia var. integrifolia"
"Plagiochila fallax","Lindenb. & Hampe","Plagiochila patula",
"Plagiochila interjecta","Gottsche","Plagiochila patula",
"Plagiochila intermedia","Lindenb. & Gottsche","Plagiochila patula",
"Plagiochila montana","Spruce","Plagiochila patula",
"Plagiochila patula","(Sw.) Nees & Mont. ex Lindenb.","Plagiochila patula",
"Plagiochila socia","Lindenb. & Gottsche","Plagiochila patula",
"Plagiochila subcontracta","Lindenb. & Gottsche","Plagiochila patula",
"Plagiochila thamniopsis","Spruce","Plagiochila patula",
"Plagiochila patula var. brevifolia","Gottsche","Plagiochila patula var. brevifolia",
"Plagiochila patula var. patula","","Plagiochila patula var. patula",
"Plagiochila patuloides","Schiffn.","Plagiochila patuloides",
"Plagiochila metcalfii","Steph.","Plagiochila paucidens",
"Plagiochila paucidens","Steph.","Plagiochila paucidens",
"Plagiochila queenslandica","Steph.","Plagiochila paucidens",
"Plagiochila trigona","Steph.","Plagiochila paucidens",
"Plagiochila pauciramea","A.Evans","Plagiochila pauciramea",
"Plagiochila paupercula","Gottsche","Plagiochila paupercula",
"Plagiochila pautaphila","Gradst. & León-Yánez","Plagiochila pautaphila",
"Plagiochila pearceana","Steph.","Plagiochila pearceana",
"Plagiochila borbonica","Mont. & Gottsche","Plagiochila pectinata",
"Plagiochila comorensis","Steph.","Plagiochila pectinata",
"Plagiochila pectinata","Lindenb.","Plagiochila pectinata",
"Plagiochila tenax","Steph.","Plagiochila pectinata",
"Plagiochila peculiaris","Schiffn.","Plagiochila peculiaris",
"Plagiochila pellucida","Herzog","Plagiochila pellucida",
"Plagiochila peradenyensis","Schiffn.","Plagiochila peradenyensis",
"Plagiochila perdentata","M.L.So & Grolle","Plagiochila perdentata",
"Plagiochila perserrata","Herzog","Plagiochila perserrata",
"Plagiochila crassitexta","Steph.","Plagiochila philippinensis",
"Plagiochila philippinensis","Steph.","Plagiochila philippinensis",
"Plagiochila pilifera","Steph.","Plagiochila pilifera",
"Plagiochila amphigastriata","Herzog","Plagiochila pinniflora",
"Plagiochila candelabra","Steph.","Plagiochila pinniflora",
"Plagiochila pinniflora","Steph.","Plagiochila pinniflora",
"Plagiochila ramentacea","Steph.","Plagiochila pinniflora",
"Plagiochila subrepanda","Steph.","Plagiochila pinniflora",
"Plagiochila pittieri","Steph.","Plagiochila pittieri",
"Plagiochila platyphylla","Herzog","Plagiochila platyphylla",
"Plagiochila poeltii","Inoue & Grolle","Plagiochila poeltii",
"Plagiochila asplenioides ssp. porelloides","(Torr. ex Nees) R.M.Schust.","Plagiochila porelloides",
"Plagiochila asplenioides var. dillenii","(Taylor) Pearson","Plagiochila porelloides",
"Plagiochila asplenioides var. humilis","(Nees) Lindenb.","Plagiochila porelloides",
"Plagiochila asplenioides var. minor","Lindenb.","Plagiochila porelloides",
"Plagiochila asplenioides var. porelloides","(Torr. ex Nees) Schiffn.","Plagiochila porelloides",
"Plagiochila dentosa","(S.Hatt.) S.Hatt.","Plagiochila porelloides",
"Plagiochila dillenii","(Taylor) Taylor","Plagiochila porelloides",
"Plagiochila porelloides","(Torr. ex Nees) Lindenb.","Plagiochila porelloides","Plagiochila porelloides"
"Plagiochila satoi","S.Hatt.","Plagiochila porelloides","Plagiochila satoi"
"Plagiochila satoi var. integerrima","S.Hatt.","Plagiochila porelloides",
"Plagiochila porelloides var. norvegica","(H.H.Blom & Holten) Schumacker & Váňa","Plagiochila porelloides var. norvegica",
"Plagiochila porelloides var. porelloides","","Plagiochila porelloides var. porelloides",
"Plagiochila arctica var. subarctica","(Jørg.) Inoue","Plagiochila porelloides var. subarctica","Plagiochila arctica var. subarctica"
"Plagiochila asplenioides var. subarctica","Jørg.","Plagiochila porelloides var. subarctica",
"Plagiochila porelloides var. subarctica","(Jørg.) Lammes","Plagiochila porelloides var. subarctica",
"Plagiochila gymnoclada var. major","Schiffn.","Plagiochila praecipua",
"Plagiochila praecipua","M.A.M.Renner","Plagiochila praecipua",
"Plagiochila fragilifolia","Pearson","Plagiochila praemorsa",
"Plagiochila praemorsa","Steph.","Plagiochila praemorsa",
"Plagiochila priceana","Gradst. & A.R.Benitez","Plagiochila priceana",
"Plagiochila levieri","Schiffn.","Plagiochila propinqua",
"Plagiochila levieri var. brevidens","Schiffn.","Plagiochila propinqua",
"Plagiochila levieri var. longissima","Schiffn.","Plagiochila propinqua",
"Plagiochila propinqua","Sande Lac.","Plagiochila propinqua",
"Plagiochila propinqua var. singalangana","Schiffn.","Plagiochila propinqua",
"Plagiochila prostrata","Steph.","Plagiochila prostrata",
"Plagiochila pseudoattenuata","S.W.Arnell","Plagiochila pseudoattenuata",
"Plagiochila pseudocapillaris","Inoue","Plagiochila pseudocapillaris",
"Plagiochila pseudofirma","Herzog","Plagiochila pseudofirma",
"Plagiochila pseudopoeltii","Inoue","Plagiochila pseudopoeltii",
"Plagiochila pseudoradicans","Herzog","Plagiochila pseudoradicans",
"Plagiochila pseudorenitens","Schiffn.","Plagiochila pseudorenitens",
"Plagiochila ptychanthoidea","Steph.","Plagiochila ptychanthoidea",
"Plagiochila pulcherrima","Horik.","Plagiochila pulcherrima",
"Plagiochila pulvinata","Steph.","Plagiochila pulvinata",
"Plagiochila chinantlana","Gottsche","Plagiochila punctata",
"Plagiochila choachina","Gottsche","Plagiochila punctata",
"Plagiochila denudata","Steph.","Plagiochila punctata",
"Plagiochila lacouturei","Steph.","Plagiochila punctata",
"Plagiochila patzschkei","Steph.","Plagiochila punctata",
"Plagiochila punctata","(Taylor) Taylor","Plagiochila punctata",
"Plagiochila punctata var. minuta","Schiffn.","Plagiochila punctata",
"Plagiochila spinulosa var. microphylla","Carrington","Plagiochila punctata",
"Plagiochila stolonifera","Lindenb. & Gottsche","Plagiochila punctata",
"Plagiochila mascarena","Gottsche","Plagiochila punctata var. paucidentata",
"Plagiochila paucidentata","Mont. & Gottsche","Plagiochila punctata var. paucidentata",
"Plagiochila punctata var. paucidentata","(Mont. & Gottsche) Gradst.","Plagiochila punctata var. paucidentata",
"Plagiochila punctata var. punctata","","Plagiochila punctata var. punctata",
"Plagiochila purpurascens","Steph.","Plagiochila purpurascens",
"Plagiochila aliena","Gottsche","Plagiochila raddiana",
"Plagiochila anderssonii","Ångstr.","Plagiochila raddiana",
"Plagiochila crispatodecurrens","Herzog","Plagiochila raddiana",
"Plagiochila funkiana","Steph.","Plagiochila raddiana",
"Plagiochila gualaquizana","Steph.","Plagiochila raddiana",
"Plagiochila guilleminiana","Mont. ex Lindenb.","Plagiochila raddiana",
"Plagiochila gymnotis","Spruce","Plagiochila raddiana",
"Plagiochila haitensis","Steph.","Plagiochila raddiana",
"Plagiochila ludoviciana","Sull.","Plagiochila raddiana","Plagiochila ludoviciana"
"Plagiochila plicata","Lindenb. & Gottsche","Plagiochila raddiana",
"Plagiochila punctualis","Gottsche","Plagiochila raddiana",
"Plagiochila raddiana","Lindenb.","Plagiochila raddiana",
"Plagiochila rhizophila","Spruce","Plagiochila raddiana",
"Plagiochila schiedeana","Gottsche","Plagiochila raddiana",
"Plagiochila schlimiana","Gottsche","Plagiochila raddiana",
"Plagiochila silvatica","Gottsche","Plagiochila raddiana",
"Plagiochila speciosa","Lindenb. & Gottsche","Plagiochila raddiana",
"Plagiochila subatra","Steph.","Plagiochila raddiana",
"Plagiochila subcristata","Gottsche","Plagiochila raddiana",
"Plagiochila tunarum","Steph.","Plagiochila raddiana",
"Plagiochila ramosissima","(Hook.) Lindenb.","Plagiochila ramosissima",
"Plagiochila rara","Triana & Planch.","Plagiochila rara",
"Plagiochila recurvata","(W.E.Nicholson) Grolle","Plagiochila recurvata",
"Plagiochila moluccensis","Steph.","Plagiochila remyana",
"Plagiochila remyana","Steph.","Plagiochila remyana",
"Plagiochila renauldii","Steph.","Plagiochila renauldii",
"Plagiochila aequalis","Mitt.","Plagiochila renitens",
"Plagiochila renitens","(Nees) Lindenb.","Plagiochila renitens",
"Plagiochila renitens var. aberrans","Schiffn.","Plagiochila renitens",
"Plagiochila renitens var. spectabilis","Schiffn.","Plagiochila renitens",
"Plagiochila subpeculiaris","Herzog","Plagiochila renitens",
"Plagiochila mauritiana","(Nees) Lindenb.","Plagiochila repanda",
"Plagiochila repanda","(Schwägr.) Lindenb.","Plagiochila repanda",
"Plagiochila perrotana","Steph.","Plagiochila repanda var. perrotana",
"Plagiochila repanda var. perrotana","(Steph.) Vanden Berghen","Plagiochila repanda var. perrotana",
"Plagiochila perrotiana","Steph.","Plagiochila repanda var. perrotiana",
"Plagiochila repanda var. perrotiana","(Steph.) Vanden Berghen","Plagiochila repanda var. perrotiana",
"Plagiochila repanda var. repanda","","Plagiochila repanda var. repanda",
"Plagiochila retrorsa","Gottsche","Plagiochila retrorsa",
"Plagiochila sharpii","H.L.Blomq.","Plagiochila retrorsa","Plagiochila sharpii"
"Plagiochila sharpii ssp. sharpii","","Plagiochila retrorsa","Plagiochila sharpii ssp. sharpii"
"Plagiochila tricarinata","Carl","Plagiochila retrorsa",
"Plagiochila retrospectans","Lindenb.","Plagiochila retrospectans",
"Plagiochila retusa","Mitt.","Plagiochila retusa",
"Plagiochila revolvens","Mitt.","Plagiochila revolvens",
"Plagiochila rigidula","Lindenb. & Gottsche","Plagiochila rigidula",
"Plagiochila riparia","Steph.","Plagiochila riparia",
"Plagiochila squarrosa","Steph.","Plagiochila riparia",
"Plagiochila liliputana","Herzog","Plagiochila rodriguezii",
"Plagiochila rodriguezii","Steph.","Plagiochila rodriguezii",
"Plagiochila rosana","Steph.","Plagiochila rosana",
"Plagiochila chilensis","Steph.","Plagiochila rubescens",
"Plagiochila rubescens","(Lehm. & Lindenb.) Lindenb.","Plagiochila rubescens",
"Plagiochila rubricaulis","Steph.","Plagiochila rubricaulis",
"Plagiochila rudischusteri","H.Rob.","Plagiochila rudischusteri",
"Plagiochila rudolfii","Pócs","Plagiochila rudolfii",
"Plagiochila rufifolia","Steph.","Plagiochila rufifolia",
"Plagiochila rufovirdis","Spruce","Plagiochila rufovirdis",
"Plagiochila rufoviridis","Spruce","Plagiochila rufoviridis",
"Plagiochila rusbyi","Spruce","Plagiochila rusbyi",
"Plagiochila cobana","Steph.","Plagiochila rutilans",
"Plagiochila divaricata","Lindenb.","Plagiochila rutilans",
"Plagiochila harrisana","Steph.","Plagiochila rutilans",
"Plagiochila perrottetiana","Mont. & Gottsche","Plagiochila rutilans",
"Plagiochila remotifolia","Hampe & Gottsche","Plagiochila rutilans",
"Plagiochila rutilans","Lindenb.","Plagiochila rutilans",
"Plagiochila moritziana","Lindenb. & Gottsche ex Hampe","Plagiochila rutilans var. moritziana",
"Plagiochila rutilans var. moritziana","(Lindenb. & Gottsche ex Hampe) Heinrichs","Plagiochila rutilans var. moritziana",
"Plagiochila rutilans var. rutilans","","Plagiochila rutilans var. rutilans",
"Plagiochila rutilans var. standleyi","(Herzog ex Carl) Heinrichs & D.S.Rycroft","Plagiochila rutilans var. standleyi",
"Plagiochila standleyi","Herzog ex Carl","Plagiochila rutilans var. standleyi",
"Plagiochila rutlandii","Steph.","Plagiochila rutlandii",
"Plagiochila sabensis","Steph.","Plagiochila sabensis",
"Plagiochila sachapatensis","Steph.","Plagiochila sachapatensis",
"Plagiochila jackii","Schiffn.","Plagiochila salacensis",
"Plagiochila jackii var. virens","Schiffn.","Plagiochila salacensis",
"Plagiochila salacensis","Gottsche","Plagiochila salacensis",
"Plagiochila salvadorica","Steph.","Plagiochila salvadorica",
"Plagiochila nubila","Steph.","Plagiochila sandei",
"Plagiochila nymanii","Steph.","Plagiochila sandei",
"Plagiochila sandei","Dozy","Plagiochila sandei",
"Plagiochila seemannii","Mitt.","Plagiochila sandei",
"Plagiochila spinosociliata","Steph.","Plagiochila sandei",
"Plagiochila sarmentosa","(Lehm.) Lehm. & Lindenb.","Plagiochila sarmentosa",
"Plagiochila schiffneri","Steph.","Plagiochila schiffneri",
"Plagiochila schiffneriana","M.A.M.Renner","Plagiochila schiffneriana",
"Plagiochila schinzei","Steph.","Plagiochila schinzei",
"Plagiochila schmidtii","Steph.","Plagiochila schmidtii",
"Plagiochila schraderbergii","Steph.","Plagiochila schraderbergii",
"Plagiochila schubertiana","Steph.","Plagiochila schubertiana",
"Plagiochila schusteri","Inoue & Grolle","Plagiochila schusteri",
"Plagiochila acanthophylla","Gottsche","Plagiochila sciophila","Plagiochila acanthophylla"
"Plagiochila acanthophylla ssp. japonica","(Sande Lac.) Inoue","Plagiochila sciophila",
"Plagiochila acanthophylla var. japonica","(Sande Lac.) Inoue","Plagiochila sciophila",
"Plagiochila ciliata","Gottsche","Plagiochila sciophila",
"Plagiochila ferriena","Steph.","Plagiochila sciophila",
"Plagiochila japonica","Sande Lac.","Plagiochila sciophila",
"Plagiochila longicilia","Steph.","Plagiochila sciophila",
"Plagiochila orientalis","Taylor","Plagiochila sciophila",
"Plagiochila sciophila","Nees","Plagiochila sciophila",
"Plagiochila sockawana","Steph.","Plagiochila sciophila",
"Plagiochila trochantha","Schiffn. ex Steph.","Plagiochila sciophila",
"Plagiochila japonica ssp. ciliigera","R.M.Schust.","Plagiochila sciophila ssp. ciliigera",
"Plagiochila sciophila ssp. ciliigera","(R.M.Schust.) L.Söderstr.","Plagiochila sciophila ssp. ciliigera",
"Plagiochila sciophila ssp. sciophila","","Plagiochila sciophila ssp. sciophila",
"Plagiochila scotica","Macvicar ex Steph.","Plagiochila scotica",
"Plagiochila secretifolia","Mitt.","Plagiochila secretifolia",
"Plagiochila semiamplexicaulis","Steph.","Plagiochila semiamplexicaulis",
"Plagiochila asymmetrica","Steph.","Plagiochila semidecurrens",
"Plagiochila inermis","Schiffn. ex Steph.","Plagiochila semidecurrens",
"Plagiochila longicalyx","Steph.","Plagiochila semidecurrens",
"Plagiochila semidecurrens","(Lehm. & Lindenb.) Lehm. & Lindenb.","Plagiochila semidecurrens","Plagiochila semidecurrens"
"Plagiochila semidecurrens ssp. grossidens","(Herzog) R.M.Schust.","Plagiochila semidecurrens",
"Plagiochila semidecurrens var. grossidens","Herzog","Plagiochila semidecurrens",
"Plagiochila yunnanensis","Steph.","Plagiochila semidecurrens",
"Plagiochila serrata","Stephani","Plagiochila serrata",
"Plagiochila serrialata","Herzog","Plagiochila serrialata",
