"family","genus","ac"
"Polypodiaceae","Ceradenia",TRUE
"Polypodiaceae","Christopteris",TRUE
"Polypodiaceae","Chrysogrammitis",TRUE
"Polypodiaceae","Cochlidium",TRUE
"Polypodiaceae","Ctenopterella",TRUE
"Polypodiaceae","Dasygrammitis",TRUE
"Polypodiaceae","Drynaria",TRUE
"Polypodiaceae","Enterosora",TRUE
"Polypodiaceae","Galactodenia",TRUE
"Polypodiaceae","Goniophlebium",TRUE
"Polypodiaceae","Grammitis",TRUE
"Polypodiaceae","Gymnogrammitis",TRUE
"Polypodiaceae","Himalayopteris",TRUE
"Polypodiaceae","Kaulinia",TRUE
"Polypodiaceae","Kontumia",TRUE
"Polypodiaceae","Lecanopteris",TRUE
"Polypodiaceae","Lellingeria",TRUE
"Polypodiaceae","Lemmaphyllum",TRUE
"Polypodiaceae","Lepidomicrosorium",TRUE
"Polypodiaceae","Lepisorus",TRUE
"Polypodiaceae","Leptochilus",TRUE
"Polypodiaceae","Leucotrichum",TRUE
"Polypodiaceae","Loxogramme",TRUE
"Polypodiaceae","Luisma",TRUE
"Polypodiaceae","Melpomene",TRUE
"Polypodiaceae","Microgramma",TRUE
"Polypodiaceae","Micropolypodium",TRUE
"Polypodiaceae","Microsorum",TRUE
"Polypodiaceae","Moranopteris",TRUE
"Polypodiaceae","Mycopteris",TRUE
"Polypodiaceae","Neocheiropteris",TRUE
"Polypodiaceae","Neolepisorus",TRUE
"Polypodiaceae","Neurodium",TRUE
"Polypodiaceae","Niphidium",TRUE
"Polypodiaceae","Oreogrammitis",TRUE
"Polypodiaceae","Paragramma",TRUE
"Polypodiaceae","Paraselliguea",TRUE
"Polypodiaceae","Pecluma",TRUE
"Polypodiaceae","Phlebodium",TRUE
"Polypodiaceae","Phymatopteris",TRUE
"Polypodiaceae","Phymatosorus",TRUE
"Polypodiaceae","Platycerium",TRUE
"Polypodiaceae","Pleopeltis",TRUE
"Polypodiaceae","Pleurosoriopsis",TRUE
"Polypodiaceae","Podosorus",TRUE
"Polypodiaceae","Polypodium",TRUE
"Polypodiaceae","Prosaptia",TRUE
"Polypodiaceae","Pyrrosia",TRUE
"Polypodiaceae","Radiogrammitis",TRUE
"Polypodiaceae","Scleroglossum",TRUE
"Polypodiaceae","Selliguea",TRUE
"Polypodiaceae","Serpocaulon",TRUE
"Polypodiaceae","Stenogrammitis",TRUE
"Polypodiaceae","Synammia",TRUE
"Polypodiaceae","Terpsichore",TRUE
"Polypodiaceae","Themelium",TRUE
"Polypodiaceae","Thylacopteris",TRUE
"Polypodiaceae","Tomophyllum",TRUE
"Polypodiaceae","Tricholepidium",TRUE
"Polypodiaceae","Xiphopterella",TRUE
"Polypodiaceae","Xiphopteris",TRUE
"Polypodiaceae","Zygophlebia",TRUE
"Cycadaceae","Cycas",TRUE
"Zamiaceae","Bowenia",TRUE
"Zamiaceae","Ceratozamia",TRUE
"Zamiaceae","Dioon",TRUE
"Zamiaceae","Encephalartos",TRUE
"Zamiaceae","Lepidozamia",TRUE
"Zamiaceae","Macrozamia",TRUE
"Zamiaceae","Microcycas",TRUE
"Zamiaceae","Stangeria",TRUE
"Zamiaceae","Zamia",TRUE
"Ginkgoaceae","Ginkgo",TRUE
"Welwitschiaceae","Welwitschia",TRUE
"Gnetaceae","Gnetum",TRUE
"Ephedraceae","Ephedra",TRUE
"Pinaceae","Abies",TRUE
"Pinaceae","Cathaya",TRUE
"Pinaceae","Cedrus",TRUE
"Pinaceae","Keteleeria",TRUE
"Pinaceae","Larix",TRUE
"Pinaceae","Picea",TRUE
"Pinaceae","Pinus",TRUE
"Pinaceae","Pseudolarix",TRUE
"Pinaceae","Pseudotsuga",TRUE
"Pinaceae","Tsuga",TRUE
"Araucariaceae","Agathis",TRUE
"Araucariaceae","Araucaria",TRUE
"Araucariaceae","Wollemia",TRUE
"Podocarpaceae","Acmopyle",TRUE
"Podocarpaceae","Afrocarpus",TRUE
"Podocarpaceae","Dacrycarpus",TRUE
"Podocarpaceae","Dacrydium",TRUE
"Podocarpaceae","Falcatifolium",TRUE
"Podocarpaceae","Halocarpus",TRUE
"Podocarpaceae","Microcachrys",TRUE
"Podocarpaceae","Nageia",TRUE
"Podocarpaceae","Parasitaxus",TRUE
"Podocarpaceae","Pherosphaera",TRUE
"Podocarpaceae","Phyllocladus",TRUE
"Podocarpaceae","Podocarpus",TRUE
"Podocarpaceae","Prumnopitys",TRUE
"Podocarpaceae","Saxegothaea",TRUE
"Sciadopityaceae","Sciadopitys",TRUE
"Taxaceae","Amentotaxus",TRUE
"Taxaceae","Austrotaxus",TRUE
"Taxaceae","Cephalotaxus",TRUE
"Taxaceae","Pseudotaxus",TRUE
"Taxaceae","Taxus",TRUE
"Taxaceae","Torreya",TRUE
"Cupressaceae","× Cupressocyparis",TRUE
"Cupressaceae","Actinostrobus",TRUE
"Cupressaceae","Athrotaxis",TRUE
"Cupressaceae","Callitris",TRUE
"Cupressaceae","Callitropsis",TRUE
"Cupressaceae","Calocedrus",TRUE
"Cupressaceae","Chamaecyparis",TRUE
"Cupressaceae","Cryptomeria",TRUE
"Cupressaceae","Cunninghamia",TRUE
"Cupressaceae","Cupressus",TRUE
"Cupressaceae","Diselma",TRUE
"Cupressaceae","Fitzroya",TRUE
"Cupressaceae","Glyptostrobus",TRUE
"Cupressaceae","Hesperocyparis",TRUE
"Cupressaceae","Juniperus",TRUE
"Cupressaceae","Libocedrus",TRUE
