"family","genus","type"
"Arthoniaceae","Cryptothecia","lichen"
"Arthoniaceae","Dermatina","lichen"
"Arthoniaceae","Diarthonis","lichen"
"Arthoniaceae","Eremothecella","lichen"
"Arthoniaceae","Felipes","lichen"
"Arthoniaceae","Herpothallon","lichen"
"Arthoniaceae","Inoderma","lichen"
"Arthoniaceae","Leprantha","lichen"
"Arthoniaceae","Myriostigma","lichen"
"Arthoniaceae","Naevia","lichen"
"Arthoniaceae","Pachnolepia","lichen"
"Arthoniaceae","Reichlingia","lichen"
"Arthoniaceae","Sporodophoron","lichen"
"Arthoniaceae","Sporostigma","lichen"
"Arthoniaceae","Stirtonia","lichen"
"Arthoniaceae","Synarthonia","lichen"
"Arthoniaceae","Tylophoron","lichen"
"Chrysotrichaceae","Byssocaulon","lichen"
"Chrysotrichaceae","Chrysothrix","lichen"
"Chrysotrichaceae","Melarthonis","lichen"
"Lecanographaceae","Alyxoria","lichen"
"Lecanographaceae","Heterocyphelium","lichen"
"Lecanographaceae","Lecanographa","lichen"
"Lecanographaceae","Phacographa","lichen"
"Lecanographaceae","Plectocarpon","lichen"
"Lecanographaceae","Zwackhia","lichen"
"Opegraphaceae","Cresponea","lichen"
"Opegraphaceae","Dictyographa","lichen"
"Opegraphaceae","Fouragea","lichen"
"Opegraphaceae","Llimonaea","lichen"
"Opegraphaceae","Nyungwea","lichen"
"Opegraphaceae","Opegrapha","lichen"
"Opegraphaceae","Paraschismatomma","lichen"
"Opegraphaceae","Pentagenella","lichen"
"Opegraphaceae","Schizopelte","lichen"
"Opegraphaceae","Sclerophyton","lichen"
"Opegraphaceae","Sparria","lichen"
"Roccellaceae","Ancistrosporella","lichen"
"Roccellaceae","Bactrospora","lichen"
"Roccellaceae","Chiodecton","lichen"
"Roccellaceae","Combea","lichen"
"Roccellaceae","Dendrographa","lichen"
"Roccellaceae","Dichosporidium","lichen"
"Roccellaceae","Dirina","lichen"
"Roccellaceae","Enterographa","lichen"
"Roccellaceae","Gyrographa","lichen"
"Roccellaceae","Hubbsia","lichen"
"Roccellaceae","Lecanactis","lichen"
"Roccellaceae","Leciographa","lichen"
"Roccellaceae","Mazosia","lichen"
"Roccellaceae","Ocellomma","lichen"
"Roccellaceae","Paralecanographa","lichen"
"Roccellaceae","Perigrapha","lichen"
"Roccellaceae","Phoebus","lichen"
"Roccellaceae","Pseudoschismatomma","lichen"
"Roccellaceae","Psoronactis","lichen"
"Roccellaceae","Roccella","lichen"
"Roccellaceae","Roccellina","lichen"
"Roccellaceae","Roccellographa","lichen"
"Roccellaceae","Schismatomma","lichen"
"Roccellaceae","Sigridea","lichen"
"Roccellaceae","Simonyella","lichen"
"Roccellaceae","Sipmania","lichen"
"Roccellaceae","Syncesia","lichen"
"Roccellaceae","Vigneronia","lichen"
"Roccellographaceae","Dimidiographa","lichen"
"Roccellographaceae","Fulvophyton","lichen"
"Candelariaceae","Candelinella","lichen"
"Candelariaceae","Opeltiella","lichen"
"Candelariaceae","Protocandelariella","lichen"
"Pyrenidiaceae","Pyrenidium","lichen"
"Monoblastiaceae","Acrocordia","lichen"
"Monoblastiaceae","Anisomeridium","lichen"
"Monoblastiaceae","Ditremis","lichen"
"Monoblastiaceae","Microthelia","lichen"
"Monoblastiaceae","Monoblastia","lichen"
"Strigulaceae","Dichoporis","lichen"
"Strigulaceae","Flavobathelium","lichen"
"Strigulaceae","Oletheriostrigula","lichen"
"Strigulaceae","Phyllobathelium","lichen"
"Strigulaceae","Phyllocharis","lichen"
"Strigulaceae","Phylloporis","lichen"
"Strigulaceae","Puiggariella","lichen"
"Strigulaceae","Racoplaca","lichen"
"Strigulaceae","Strigula","lichen"
"Strigulaceae","Swinscowia","lichen"
"Trypetheliaceae","Architrypethelium","lichen"
"Trypetheliaceae","Astrothelium","lichen"
"Trypetheliaceae","Bathelium","lichen"
"Trypetheliaceae","Bogoriella","lichen"
"Trypetheliaceae","Constrictolumina","lichen"
"Trypetheliaceae","Dictyomeridium","lichen"
"Trypetheliaceae","Macroconstrictolumina","lichen"
"Trypetheliaceae","Megalotremis","lichen"
"Trypetheliaceae","Nigrovothelium","lichen"
"Trypetheliaceae","Polymeridium","lichen"
"Trypetheliaceae","Polypyrenula","lichen"
"Trypetheliaceae","Pseudobogoriella","lichen"
"Trypetheliaceae","Pseudopyrenula","lichen"
"Trypetheliaceae","Trypethelium","lichen"
"Trypetheliaceae","Viridothelium","lichen"
"Pyrenothricaceae","Pyrenothrix","lichen"
"Pyrenulaceae","Anthracothecium","lichen"
"Pyrenulaceae","Clypeopyrenis","lichen"
"Pyrenulaceae","Daruvedia","lichen"
"Pyrenulaceae","Distopyrenis","lichen"
"Pyrenulaceae","Granulopyrenis","lichen"
"Pyrenulaceae","Lithothelium","lichen"
"Pyrenulaceae","Parapyrenis","lichen"
"Pyrenulaceae","Pyrenographa","lichen"
"Pyrenulaceae","Pyrenowilmsia","lichen"
"Pyrenulaceae","Pyrenula","lichen"
"Pyrenulaceae","Pyrgillus","lichen"
"Pyrenulaceae","Sulcopyrenula","lichen"
"Verrucariaceae","Agonimia","lichen"
"Verrucariaceae","Atla","lichen"
"Verrucariaceae","Bagliettoa","lichen"
"Verrucariaceae","Bellemerella","lichen"
"Verrucariaceae","Botryolepraria","lichen"
"Verrucariaceae","Catapyrenium","lichen"
"Verrucariaceae","Clavascidium","lichen"
"Verrucariaceae","Dermatocarpon","lichen"
"Verrucariaceae","Endocarpon","lichen"
"Verrucariaceae","Flakea","lichen"
"Verrucariaceae","Haleomyces","lichen"
"Verrucariaceae","Henrica","lichen"
"Verrucariaceae","Heterocarpon","lichen"
"Verrucariaceae","Heteroplacidium","lichen"
"Verrucariaceae","Hydropunctaria","lichen"
"Verrucariaceae","Involucropyrenium","lichen"
"Verrucariaceae","Mastodia","lichen"
"Verrucariaceae","Melanotheca","lichen"
"Verrucariaceae","Merismatium","lichen"
"Verrucariaceae","Moriola","lichen"
"Verrucariaceae","Muellerella","lichen"
"Verrucariaceae","Neocatapyrenium","lichen"
"Verrucariaceae","Nesothele","lichen"
"Verrucariaceae","Normandina","lichen"
"Verrucariaceae","Parabagliettoa","lichen"
"Verrucariaceae","Parmentaria","lichen"
"Verrucariaceae","Phylloblastia","lichen"
"Verrucariaceae","Placidiopsis","lichen"
"Verrucariaceae","Placidium","lichen"
"Verrucariaceae","Placocarpus","lichen"
"Verrucariaceae","Placopyrenium","lichen"
"Verrucariaceae","Polyblastia","lichen"
"Verrucariaceae","Psoroglaena","lichen"
"Verrucariaceae","Sporodictyon","lichen"
"Verrucariaceae","Staurothele","lichen"
"Verrucariaceae","Thelidium","lichen"
"Verrucariaceae","Tichothecium","lichen"
"Verrucariaceae","Trimmatothele","lichen"
"Verrucariaceae","Turgidosculum","lichen"
"Verrucariaceae","Verrucaria","lichen"
"Verrucariaceae","Verrucula","lichen"
